starty,startx,endy,endx,val
39.1424584,-76.7631223,39.1424701,-76.7631203,0
39.1424701,-76.7631203,39.1424748,-76.7631165,0
39.1424748,-76.7631165,39.1424802,-76.7631122,5.0781707763671875
39.1424802,-76.7631122,39.1424838,-76.7631093,0
39.1424838,-76.7631093,39.1424869,-76.7631066,0
39.1424869,-76.7631066,39.1424909,-76.7631028,0
39.1424909,-76.7631028,39.1424929,-76.7630986,104.18992614746094
39.1424929,-76.7630986,39.1424936,-76.7630965,29.7467041015625
39.1424936,-76.7630965,39.1424988,-76.7630833,0
39.1424988,-76.7630833,39.1412966,-76.7589342,0
39.1412966,-76.7589342,39.1412967,-76.7589316,0
39.1412967,-76.7589316,39.1412965,-76.7589285,0
39.1412965,-76.7589285,39.1412963,-76.7589225,0
39.1412963,-76.7589225,39.1412961,-76.7589167,0
39.1412961,-76.7589167,39.141296,-76.7589111,0
39.141296,-76.7589111,39.1382348,-76.7526133,113.04171752929688
39.1382348,-76.7526133,39.1382347,-76.7526132,45.667724609375
39.1382347,-76.7526132,39.1382337,-76.752613,2.6657562255859375
39.1382337,-76.752613,39.1382344,-76.7526131,0
39.1382344,-76.7526131,39.1538709,-76.7440642,2.6461181640625
39.1538709,-76.7440642,39.1527,-76.7468306,0
39.1527,-76.7468306,39.1515291,-76.749597,0
39.1515291,-76.749597,39.1518287,-76.7492909,0
39.1518287,-76.7492909,39.1518304,-76.7492865,0
39.1518304,-76.7492865,39.1518322,-76.7492821,0
39.1518322,-76.7492821,39.1518339,-76.7492779,0
39.1518339,-76.7492779,39.1557681,-76.744477,0
39.1557681,-76.744477,39.1557609,-76.7444806,0
39.1557609,-76.7444806,39.1557215,-76.7445604,0
39.1557215,-76.7445604,39.1557279,-76.7445599,0
39.1557279,-76.7445599,39.1557321,-76.7445589,0
39.1557321,-76.7445589,39.1557361,-76.7445579,0
39.1557361,-76.7445579,39.1557405,-76.7445558,0
39.1557405,-76.7445558,39.1624959,-76.7412739,43.75517272949219
39.1624959,-76.7412739,39.1624809,-76.7412513,21.9552001953125
39.1624809,-76.7412513,39.1624694,-76.741235,0
39.1624694,-76.741235,39.1624527,-76.7412214,0
39.1624527,-76.7412214,39.1624411,-76.7412364,0
39.1624411,-76.7412364,39.163212,-76.7361127,0
39.163212,-76.7361127,39.1632409,-76.7360648,0
